kind,movement,defence,effects,budget
worn,69,25,18,112
worn,26,1,5,32
worn,22,5,5,32
worn,13,94,5,112
worn,3,22,7,32
worn,3,27,2,32
worn,15,12,5,32
worn,13,14,5,32
worn,27,11,10,48
worn,9,39,0,48
worn,4,19,9,32
worn,9,19,4,32
worn,1,28,3,32
worn,22,9,1,32
worn,14,30,4,48
worn,22,7,3,32
worn,10,20,2,32
worn,34,9,5,48
worn,4,18,10,32
worn,16,22,10,48
worn,4,26,2,32
worn,4,35,9,48
worn,25,1,6,32
worn,4,22,6,32
worn,18,13,1,32
worn,0,25,7,32
worn,37,14,21,72
worn,10,14,8,32
worn,11,17,4,32
worn,57,7,8,72
worn,22,9,1,32
worn,7,24,1,32
worn,22,2,8,32
worn,20,7,5,32
worn,25,43,4,72
worn,10,21,1,32
worn,23,15,10,48
worn,19,6,7,32
worn,85,22,5,112
worn,7,19,6,32
worn,14,12,6,32
worn,27,9,12,48
worn,29,9,10,48
worn,10,32,6,48
worn,23,3,6,32
worn,35,25,12,72
worn,38,3,7,48
worn,29,5,14,48
worn,27,5,0,32
worn,10,14,8,32
worn,2,21,9,32
worn,68,28,16,112
worn,1,27,4,32
worn,15,8,9,32
worn,39,8,1,48
worn,20,18,10,48
worn,13,14,5,32
worn,11,25,12,48
worn,36,15,21,72
worn,0,25,7,32
worn,20,11,1,32
worn,11,14,7,32
worn,2,45,1,48
worn,7,17,8,32
worn,0,22,10,32
worn,20,26,2,48
worn,42,101,25,168
worn,7,39,2,48
worn,2,22,8,32
worn,45,123,0,168
worn,19,5,8,32
worn,25,65,22,112
worn,0,29,3,32
worn,14,17,1,32
worn,66,1,5,72
worn,30,62,20,112
worn,8,94,10,112
worn,20,14,14,48
worn,7,24,1,32
worn,13,53,6,72
worn,8,47,17,72
worn,64,29,19,112
worn,20,35,17,72
worn,1,30,1,32
worn,41,3,4,48
worn,70,91,7,168
worn,87,0,25,112
worn,34,8,6,48
worn,20,4,8,32
worn,15,10,7,32
worn,6,25,1,32
worn,7,16,9,32
worn,4,20,8,32
worn,128,5,35,168
worn,22,3,7,32
worn,108,4,0,112
worn,8,58,6,72
worn,17,24,7,48
worn,19,11,2,32
worn,5,40,3,48
worn,22,19,7,48
worn,2,52,18,72
worn,1,22,9,32
worn,2,98,12,112
worn,5,88,19,112
worn,22,9,1,32
worn,24,21,3,48
worn,69,81,18,168
worn,5,21,6,32
worn,13,46,13,72
worn,13,26,9,48
worn,32,0,0,32
worn,29,2,1,32
worn,17,8,7,32
worn,9,39,0,48
worn,2,26,4,32
worn,30,35,7,72
worn,21,4,7,32
worn,4,18,10,32
held,4,6,22,32
held,1,6,41,48
held,2,20,50,72
held,0,7,41,48
held,10,2,20,32
held,3,5,24,32
held,1,13,34,48
held,3,11,18,32
held,16,15,225,256
held,0,16,32,48
held,6,1,41,48
held,4,2,26,32
held,15,2,31,48
held,2,12,18,32
held,0,19,93,112
held,3,0,29,32
held,3,4,25,32
held,16,23,73,112
held,3,107,146,256
held,5,2,25,32
held,7,3,22,32
held,2,3,27,32
held,8,7,33,48
held,8,8,96,112
held,1,7,24,32
held,11,1,60,72
held,3,10,19,32
held,1,5,26,32
held,6,3,23,32
held,0,7,41,48
held,7,6,35,48
held,2,9,21,32
held,4,8,20,32
held,1,7,24,32
held,4,8,36,48
held,6,17,49,72
held,24,2,86,112
held,15,4,29,48
held,4,1,27,32
held,2,3,27,32
held,1,2,29,32
held,3,1,28,32
held,12,29,71,112
held,3,8,21,32
held,6,3,63,72
held,5,1,26,32
held,5,2,25,32
held,5,6,21,32
held,1,5,26,32
held,7,13,52,72
held,1,9,22,32
held,11,2,19,32
held,2,3,27,32
held,2,4,26,32
held,10,5,57,72
held,4,8,20,32
held,4,6,22,32
held,9,1,22,32
held,7,4,61,72
held,3,5,64,72
held,8,3,21,32
held,0,3,29,32
held,1,5,26,32
held,3,14,95,112
held,2,2,28,32
held,3,4,25,32
held,0,4,28,32
held,1,7,24,32
held,7,13,28,48
held,8,7,17,32
held,13,4,55,72
held,30,15,123,168
held,36,2,74,112
held,9,5,18,32
held,9,2,21,32
held,8,8,32,48
held,2,19,51,72
held,0,9,23,32
held,0,8,24,32
held,1,9,38,48
held,8,4,36,48
held,12,0,20,32
held,2,1,29,32
held,7,4,37,48
held,2,3,27,32
held,7,4,21,32
held,20,10,42,72
held,8,0,24,32
held,11,1,60,72
held,8,1,39,48
held,0,5,27,32
held,6,3,23,32
held,17,2,53,72
held,5,9,58,72
held,12,1,19,32
held,9,12,27,48
held,2,5,41,48
held,4,3,41,48
held,6,15,27,48
held,11,2,19,32
held,5,7,20,32
held,6,14,28,48
held,6,18,88,112
held,77,8,171,256
held,5,1,26,32
held,1,10,21,32
held,12,2,34,48
held,7,0,25,32
held,5,4,23,32
held,7,39,122,168
held,12,6,30,48
held,2,27,43,72
held,8,6,58,72
held,1,8,23,32
held,3,3,26,32
held,8,6,18,32
held,3,15,30,48
held,8,1,23,32
held,10,3,19,32
held,7,2,23,32
held,4,13,31,48
held,3,8,21,32
held,0,3,29,32
held,4,9,19,32
held,18,5,49,72
held,10,12,26,48
held,3,5,24,32
held,28,21,63,112
held,4,12,32,48
held,9,8,31,48
held,7,20,141,168
held,13,9,26,48
held,13,0,19,32
held,8,0,24,32
held,6,2,24,32
held,5,8,35,48
held,1,4,27,32
held,6,11,55,72
held,3,1,28,32
held,2,3,27,32
held,4,3,25,32
held,4,3,41,48
held,5,5,38,48
held,5,1,26,32
held,13,5,30,48
held,1,7,40,48
held,5,6,21,32
held,6,3,23,32
held,14,7,27,48
held,5,1,26,32
held,16,5,51,72
held,13,0,19,32
held,22,24,66,112
held,0,14,34,48
held,6,2,24,32
held,4,7,21,32
held,6,4,38,48
held,0,4,28,32
held,11,28,73,112
held,3,2,27,32
held,8,6,18,32
held,2,18,28,48
held,5,5,22,32
held,9,3,36,48
held,1,9,22,32
held,0,12,36,48
held,5,13,94,112
held,12,4,32,48
held,25,2,45,72
held,27,10,131,168
held,6,3,39,48
held,0,31,41,72
held,3,3,26,32
held,5,13,150,168
held,5,9,18,32
held,12,1,59,72
held,26,23,207,256
held,5,0,27,32
held,12,49,107,168
held,3,11,18,32
held,4,8,20,32
held,4,8,20,32
held,2,6,24,32
held,5,3,40,48
held,1,5,26,32
held,2,2,28,32
held,1,7,24,32
held,4,10,18,32
held,7,5,20,32
held,11,10,27,48
held,6,4,62,72
held,3,1,28,32
held,1,8,63,72
held,3,1,28,32
held,1,12,19,32
held,5,0,27,32
held,7,5,20,32
held,5,8,19,32
held,3,15,30,48
held,3,6,23,32
held,0,6,42,48
held,4,13,31,48
held,2,3,27,32
held,0,8,24,32
held,13,1,18,32
held,1,3,28,32
held,35,39,94,168
held,2,9,37,48
held,8,4,20,32
held,2,2,28,32
held,7,2,39,48
held,2,4,26,32
held,0,12,20,32
held,13,0,19,32
held,17,3,28,48
held,2,5,25,32
held,2,9,61,72
held,1,16,31,48
held,9,38,65,112
held,6,3,39,48
held,4,2,26,32
held,9,1,22,32
held,3,1,28,32
held,26,2,44,72
held,2,2,28,32
held,9,6,57,72
held,7,3,22,32
held,8,2,38,48
held,6,8,18,32
held,7,7,58,72
held,0,23,49,72
held,5,6,37,48
held,1,2,29,32
held,2,43,67,112
held,12,0,20,32
held,8,3,37,48
held,0,12,20,32
held,2,10,60,72
held,2,27,43,72
held,8,1,23,32
held,11,0,21,32
held,2,5,25,32
held,0,8,40,48
held,1,13,18,32
held,5,1,26,32
held,3,11,34,48
held,1,3,28,32
held,2,2,28,32
held,4,1,43,48
held,16,7,49,72
held,2,5,65,72
held,3,1,28,32
held,9,3,100,112
held,17,3,52,72
held,9,1,62,72
held,3,3,26,32
held,3,7,38,48
held,17,11,84,112
held,9,2,21,32
held,2,14,32,48
held,9,3,36,48
held,13,23,220,256
held,7,5,20,32
held,8,0,40,48
held,9,3,20,32
held,7,3,22,32
held,4,4,24,32
held,5,8,19,32
held,10,1,21,32
held,5,1,42,48
held,2,13,33,48
held,21,1,26,48
held,22,0,50,72
held,5,1,26,32
held,6,8,18,32
held,5,2,41,48
held,1,11,36,48
held,3,3,26,32
held,0,19,29,48
held,6,1,25,32
held,7,16,49,72
held,4,15,29,48
held,7,5,20,32
held,21,4,87,112
held,10,7,95,112
held,3,7,38,48
held,12,2,34,48
held,9,3,60,72
held,4,2,26,32
held,1,6,25,32
held,2,13,57,72
held,5,59,104,168
held,2,3,43,48
held,3,11,34,48
held,6,3,23,32
held,3,3,26,32
held,6,4,38,48
held,17,4,51,72
held,11,13,48,72
held,39,37,92,168
held,3,1,28,32
held,18,26,212,256
held,0,13,19,32
held,57,14,97,168
held,8,3,21,32
held,5,7,20,32
held,11,3,18,32
held,0,7,65,72
held,15,2,31,48
held,2,2,28,32
held,25,9,78,112
held,16,3,29,48
held,0,11,21,32
held,5,3,40,48
held,3,27,82,112
held,22,2,144,168
held,1,8,63,72
held,18,1,29,48
held,7,15,50,72
held,10,21,81,112
held,28,16,68,112
held,13,1,18,32
held,39,7,122,168
held,5,8,35,48
held,4,24,44,72
held,7,4,21,32
held,0,3,29,32
held,1,2,29,32
held,10,2,20,32
held,9,2,37,48
held,0,9,23,32
held,1,6,25,32
held,3,2,27,32
held,4,10,34,48
held,0,4,28,32
held,8,0,24,32
held,2,3,27,32
held,4,9,19,32
held,13,9,26,48
held,4,6,22,32
held,14,1,33,48
held,7,3,22,32
held,12,1,19,32
held,3,10,19,32
held,1,2,29,32
held,8,1,23,32
held,4,6,38,48
held,4,10,18,32
held,6,6,20,32
held,7,1,24,32
held,1,5,26,32
held,6,1,25,32
held,2,6,40,48
held,14,2,32,48
held,7,3,38,48
held,0,5,43,48
held,2,4,26,32
held,3,5,24,32
held,0,6,26,32
held,2,7,23,32
held,4,3,25,32
held,64,49,143,256
held,0,6,26,32
held,1,8,23,32
held,0,8,24,32
held,3,3,26,32
held,2,12,34,48
held,0,3,29,32
held,3,2,27,32
held,9,4,19,32
held,10,3,35,48
held,36,26,194,256
held,0,4,28,32
held,8,1,23,32
held,6,2,40,48
held,4,5,23,32
held,5,6,21,32
held,5,4,23,32
held,1,14,97,112
held,2,11,19,32
held,1,10,21,32
held,3,6,39,48
held,4,5,23,32
held,4,8,20,32
held,2,4,26,32
held,2,2,28,32
held,3,7,38,48
held,3,12,33,48
held,1,2,29,32
held,3,5,24,32
held,0,9,23,32
held,6,8,18,32
held,7,6,59,72
held,0,9,23,32
held,3,1,28,32
held,4,16,28,48
held,2,11,19,32
held,0,29,43,72
held,3,8,21,32
held,2,9,37,48
